iter	RMSE
0	0.2655981219
1	0.2639228684
2	0.262389142
3	0.260673724
4	0.2590541738
5	0.2574258101
6	0.2558215635
7	0.254298653
8	0.2527684543
9	0.2511956236
10	0.2495726253
11	0.2480812376
12	0.2466220667
13	0.2451591306
14	0.243700268
15	0.242215534
16	0.2408234193
17	0.2394187088
18	0.2379265954
19	0.2364179911
20	0.2350476581
21	0.2337390212
22	0.2324133746
23	0.2310329379
24	0.2297041661
25	0.2284167511
26	0.2270646569
27	0.2258216864
28	0.2245745787
29	0.2232513881
30	0.2218905491
31	0.2205263599
32	0.2192475583
33	0.2180160321
34	0.2167679098
35	0.2155311563
36	0.2143615747
37	0.2132587806
38	0.2120704623
39	0.2108727107
40	0.2098004831
41	0.2086309896
42	0.2075595427
43	0.2065833593
44	0.2055716633
45	0.2044838781
46	0.2035199089
47	0.2025534579
48	0.2014938446
49	0.2003917638
50	0.1994095919
51	0.1983714986
52	0.1974204404
53	0.1964905155
54	0.1954938435
55	0.1945996924
56	0.1936239393
57	0.1926129389
58	0.1916398092
59	0.1907549959
60	0.1898086759
61	0.1888302569
62	0.1879405249
63	0.1870172608
64	0.1861314148
65	0.1852049071
66	0.1842902014
67	0.1834212747
68	0.1825498071
69	0.1816954433
70	0.1809898958
71	0.1802622485
72	0.1794438883
73	0.1786296151
74	0.1778462801
75	0.1770767745
76	0.1762369928
77	0.175445383
78	0.1746733542
79	0.1739214837
80	0.1732363409
81	0.1724491697
82	0.1716929726
83	0.1709155496
84	0.1701673162
85	0.1694355599
86	0.1687407372
87	0.168096681
88	0.1674200159
89	0.166717194
90	0.166059227
91	0.1653765309
92	0.1646862922
93	0.1640679442
94	0.1634345231
95	0.1627742585
96	0.1621397049
97	0.1614816615
98	0.160877541
99	0.1602633598
100	0.1596710506
101	0.1591109
102	0.1585248313
103	0.1579391237
104	0.1573507187
105	0.1567887454
106	0.156204956
107	0.1556595469
108	0.1551145042
109	0.1545369905
110	0.1540163671
111	0.1534467643
112	0.1528971055
113	0.1523721978
114	0.1518559753
115	0.1513561185
116	0.1508642787
117	0.1503592326
118	0.149885787
119	0.1494195951
120	0.1488994413
121	0.1484451155
122	0.1479562807
123	0.1474721431
124	0.1469837896
125	0.1465263854
126	0.1460863885
127	0.1456276044
128	0.145174554
129	0.1447282968
130	0.1442849151
131	0.1438305903
132	0.1433952947
133	0.1430208145
134	0.1425999332
135	0.1421571209
136	0.1417318626
137	0.1413058466
138	0.1408832299
139	0.1404618126
140	0.1400507884
141	0.1396736018
142	0.1392813934
143	0.1388793345
144	0.1384952904
145	0.1381051783
146	0.1377299328
147	0.1373430548
148	0.1370528182
149	0.1366701846
150	0.1363077077
151	0.1359065353
152	0.1355952686
153	0.1352234874
154	0.1348484224
155	0.1344678346
156	0.1341347128
157	0.1337976559
158	0.1334702369
159	0.1331154696
160	0.1327811105
161	0.1324438975
162	0.1320908126
163	0.1317568605
164	0.1314212588
165	0.1310993697
166	0.1307695242
167	0.1304424826
168	0.1300990298
169	0.1297846692
170	0.1294914947
171	0.1291658599
172	0.1288609133
173	0.1285438644
174	0.1282299128
175	0.1279845473
176	0.1276930716
177	0.1273757294
178	0.1270972613
179	0.1267725853
180	0.1264968773
181	0.1262096811
182	0.1259714197
183	0.1256967227
184	0.1253997901
185	0.1251257663
