layer,num,abbr,description,oof_rmse,status,date,public_rmse
L1,01,FE,피처 엔지니어링,2403,confirmed,,
L1,02,TE,타겟 인코딩,2445,dropped,,
L1,03,FE+TE,피처 엔지니어링 + 타겟 인코딩,2446,dropped,,
L2,01,CB,CatBoost,2310,confirmed,,
L2,02,LR,Ridge 회귀,5765,confirmed,,
L2,03,XB,XGBoost,2644,dropped,,
L3,01,CB+TN,CatBoost 튜닝,2267,confirmed,,
L3,02,LGB+TN,LightGBM 튜닝,2298,confirmed,,
L3,03,LR+TN,Ridge 튜닝,5765,dropped,,
L4,01,BL,CB+LGB 블렌딩,2242,confirmed,2026-06-22,2537
L4,02,BL+TR,CB+LGB 블렌딩 + 트렌드 보정,2247,confirmed,2026-06-22,2320
L4,03,BL+GTR,CB+LGB 블렌딩 + 구별 트렌드 보정,2247,confirmed,2026-06-22,2212
L4,06,BL+GTR2,CB+LGB 재튜닝 + 구별 트렌드 보정,2239,confirmed,2026-06-23,2187
L4,08,STK+GTR,CB+LGB Ridge 스태킹 + 구별 트렌드 보정,2234,best,2026-06-23,2155
L4,07,BL3+GTR,CB+LGB+XGB 3모델 + 구별 트렌드 보정,2237,dropped,2026-06-23,2192
L4,04,BL+DTR,CB+LGB 블렌딩 + 동별 트렌드 보정,2247,dropped,2026-06-22,2383
L4,05,BL+RTR,CB+LGB 블렌딩 + 실제 2026 상승률 보정,2247,dropped,2026-06-22,2335
L4,09,STK+EWMTR,CB+LGB Ridge 스태킹 + 구별 EWM 트렌드 보정,2234,dropped,2026-06-23,3154
L4,10,STK+RLTR,CB+LGB Ridge 스태킹 + 외부 실거래 트렌드 보정,2234,dropped,2026-06-23,3021
L4,11,META+CB,CatBoost 메타 스태킹 (OOF+원본피처) + 구별 트렌드,2273,dropped,,
L4,12,STK+RFE,Ridge 스태킹 + 상대피처 (Area_vs_Gu 등) + 구별 트렌드,2269,dropped,,
L4,13,STK+HBR,Huber Loss (CB+LGB) Ridge 스태킹 + 구별 트렌드,2298,dropped,,
L4,14,RES,CatBoost 1차 + LightGBM 잔차 + 구별 트렌드,2255,dropped,,
L4,15,STK+NN,CB+LGB+MLP Ridge 스태킹 + 구별 트렌드,2235,dropped,,
L4,16,STK+GEO,CB+LGB Ridge 스태킹 + 지리피처 + 구별 트렌드,2237,dropped,2026-06-24,2178
L4,18,BLD0816,전략08(70%)+전략16(30%) 블렌딩 + 구별 트렌드,2235,confirmed,2026-06-24,2159
L4,18b,BLD0816b,전략08(85%)+전략16(15%) 블렌딩 + 구별 트렌드,2235,confirmed,2026-06-24,2157
L4,18c,BLD0816c,전략08(95%)+전략16(5%) 블렌딩 + 구별 트렌드,2235,confirmed,2026-06-24,2155
L4,19,PSEUDO,Pseudo Labeling (안정3구) + 재학습 + 구별 트렌드,2247,dropped,2026-06-24,2173
L1,4,BAGE,Building Age (거래시점 기준 Age),2447,tested,,
L4,20,TSCV+STK,TimeSeriesSplit CB+LGB Ridge 스태킹 + 구별 트렌드,2420,tested,,
L4,21,SW+STK,Sample Weight (대형+고에러구) CB+LGB Ridge 스태킹 + 구별 트렌드,2260,tested,,
L4,22,KNN+STK,kNN 잔차 보정 + CB+LGB Ridge 스태킹 + 구별 트렌드,2234,tested,,
L4,23,DA+STK,Domain Adaptation Weight + CB+LGB Ridge 스태킹 + 구별 트렌드,2234,tested,,
L4,24,PL2+STK,Pseudo Label v2 (신뢰도 필터 30%) + Ridge 스태킹 + 구별 트렌드,2242,tested,,
L4,24,PL2+STK,Pseudo Label v2 (신뢰도 필터 50%) + Ridge 스태킹 + 구별 트렌드,2226,tested,,
L4,25,SCALE+STK,Scale Blending (가중 평균 (원본 60%)) + 구별 트렌드,2226,tested,,
L4,26,PL2+SCALE,PL2 + Scale Blending (방법B) + 구별 트렌드,2215,tested,,
L4,27,UNIT PRICE,평당가 예측 (8모델 단순평균) + 구별 트렌드,2217,tested,,
L4,28,PL2+UNIT,PL2 + 평당가 크로스 (PL2 8모델 Ridge(α=10.0)) + GTR,2196,tested,,
L4,29,TGT TRANSFORMS,타겟 변환 다양성 (8+sqrt (α=10.0)),2224,tested,,
L4,30,ITER PL,Iterative PL R1 + 8모델 Ridge + GTR,2196,tested,,
L4,31,FEAT DIVERSITY,피처셋 변형 다양성 (8+핵심만 (α=10.0)),2229,tested,,
L4,32,MULTI SEED,전략28 × 4시드 평균 + GTR,2187,tested,,
L4,33,META SUMMARY,Meta 요약 통계 (8입력 Ridge) + GTR,2196,tested,,
L4,34,TREND ALPHA,트렌드 보정 강도 최적화 (alpha sweep),2194,tested,,
L4,35,QUANTILE ENS,RMSE 8모델 + Quantile 10모델 Ridge(α=100.0) + GTR,2236,tested,,
L4,36,GU SPLIT,구별 독립 파이프라인 (전체),2198,tested,,
L4,37,OOT COMPARE,OOT 전략 비교 (08/25/26/28) holdout 3개월,2634,tested,,
L4,38,ALPHA 0.7,전략28 + 트렌드 α=0.7,2196,tested,,
L4,39,ALPHA 0.9,전략28 + 트렌드 α=0.9,2196,tested,,
L4,40,2LV STACK,"2단 스태킹 (EN(α=10.0,L1=0.1)) + GTR",2196,tested,,
L4,42,CONF FEAT,confidence 피처 (기준 (전략 28)) + GTR,2196,tested,,
L4,43,LOCAL WEIGHT,구별 메타 가중치 + 신뢰도 계층화 실험,2196,tested,,
L4,44,DIVERSE,8모델+비트리 Ridge + GTR,2194,tested,,
L4,45,ET EXPAND,ExtraTrees 확장 (8모델 + ET×log/raw α=50.0) + GTR,2193,tested,,
L4,46,ALGO DIV V2,알고리즘 다양성 v2 (전략45 (8+ET2)) + GTR,2193,tested,,
L4,41,BLEND 28:26,28:26=70:30 블렌딩 + GTR,2196,tested,,
L4,42,CONF FEAT,confidence 피처 + GTR,2214,tested,,
L4,43,LOCAL WEIGHT,구별 메타 가중치 + 신뢰도 계층화,2196,tested,,
L4,47,LGB-ET,LGBM extra_trees (10+LGBET1 α=100) + GTR,2191,tested,,
L4,48,KERNEL SPLINE,비트리 다양성 (전략47 (12모델)) + GTR,2191,tested,,
L4,48,SPLINE DIV,SplineTransformer 다양성 (12+SplA α=50.0) + GTR,2190,tested,,
L4,49,PL SWEEP,PL threshold sweep: 50%가 최적 확인,2191,tested,,
L4,50,GU RIDGE,구별 Ridge (전역 Ridge(α=50.0)) + GTR,2191,tested,,
L4,51,RESID+DGP,고오차보정+DGP (Weighted Ridge(w=1.5)) + GTR,2191,tested,,
L4,54,NEW FEAT,새 피처 테스트 (최선: 기준(전략47)),2191,tested,,
L4,66,BLD5663W60,BLEND 56+63=60:40 (라벨 Skeleton),,tested,2026-06-29,2048
L4,67,BLD5663W50,BLEND 56+63=50:50 (라벨 Skeleton),,tested,2026-06-29,2049
L4,69,ONEHOT SKEL,원-핫 Skeleton + BLEND 56+63=60:40,,tested,2026-06-29,2044
L4,70,ONEHOT W55,원-핫 Skeleton + BLEND 56+63=55:45,,tested,2026-06-29,2046
L4,72,PERGU SKEL,Per-Gu Skeleton + BLEND 56+63=60:40,,best,2026-06-29,2040
